,,,,,TI210422A2,TI210422A1,TI210424A,TI210429A1,TI210429A3,TI210511A,TI210504A,H207808,H207812,H207821,H207832,H207834
,,,,,2021-04-22,2021-04-22,2021-04-24,2021-04-29,2021-04-29,2021-05-11,2021-05-04,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-19
,,,,,2021-05-12,2021-05-14,2021-05-17,2021-05-19,2021-05-21,2021-05-28,2021-05-31,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02
013CH271I-09C SP/126N,0.0275,¶ÊÞ°,4,0,,,,,,,,,,,,,,,,,
013CH271I-17C SP/126N,0.011,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH271-35C SP/126N,0.0055,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH271-37C SP/126N,0.0055,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH271I-41C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH271I-42C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH271I-49C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH271I-50C SP/126N,0.0275,¶ÊÞ°,0,0,,,,,,,,,,,,,,,,,
013CH271I-03C SP/180,0.0275,¶ÊÞ°,5,1,,,,,,,,,,,,2.0,,,,,
013CH271I-08C SP/180,0.0275,¶ÊÞ°,7,0,,,,,,,,,,,,,,,,,
013CH271I-09C SP/180,0.0275,¶ÊÞ°,6,1,,,,,,,,,,,,,,,,,
013CH271I-17C SP/180,0.011,¶ÊÞ°,5,2,,,,,,,,,,,,2.0,,,,,
013CH271-35C SP/180,0.0055,¶ÊÞ°,4,6,5.0,,,,10.0,10.0,,,,,,,,,,,
013CH271-37C SP/180,0.0055,¶ÊÞ°,35,16,,,,,,10.0,,,,,,20.0,,,,,
013CH271I-41C SP/180,0.0275,¶ÊÞ°,7,4,,,,,,2.0,,,,,,2.0,,,,,
013CH271I-42C SP/180,0.0275,¶ÊÞ°,3,2,,,,,,,,2.0,,,,3.0,,,,,
013CH271I-49C SP/180,0.0275,¶ÊÞ°,8,5,,,,,,,,,,,,3.0,,,,,
013CH271I-50C SP/180,0.0275,¶ÊÞ°,6,2,,,,,,2.0,,,,,,2.0,,,,,
013CH271I-03C SP/181,0.0275,¶ÊÞ°,2,2,,,,,,,,,,,2.0,,,,,,
013CH271I-08C SP/181,0.0275,¶ÊÞ°,1,0,,,,,,2.0,,,,,2.0,,,,,,
013CH271I-09C SP/181,0.0275,¶ÊÞ°,2,2,,,,,,,,,,,,4.0,,,,,
013CH271I-17C SP/181,0.011,¶ÊÞ°,1,1,,,,,,3.0,,,,,4.0,,,,,,
013CH271-35C SP/181,0.0055,¶ÊÞ°,2,2,,,,,,,,5.0,,,,,,,,,
013CH271-37C SP/181,0.0055,¶ÊÞ°,0,4,,,,,,20.0,,,,,20.0,,,,,,
013CH271I-41C SP/181,0.0275,¶ÊÞ°,1,1,,,,,,,,,,,,,,,,,
013CH271I-42C SP/181,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH271I-49C SP/181,0.0275,¶ÊÞ°,1,2,,,,,,,,,,4.0,,2.0,,,,,
013CH271I-50C SP/181,0.0275,¶ÊÞ°,1,0,,,,,,4.0,,,,,4.0,,,,,,
013CH271I-03C SP/182,0.0275,¶ÊÞ°,4,0,,,,,,,,,,,,,,,,,
013CH271I-08C SP/182,0.0275,¶ÊÞ°,3,1,,,,,,,,,,,,,,,,,
013CH271I-09C SP/182,0.0275,¶ÊÞ°,2,0,,,,,,,,,,,,,,,,,
013CH271I-17C SP/182,0.011,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH271-35C SP/182,0.0055,¶ÊÞ°,5,2,10.0,,,,,,,,,,,,,,,,
013CH271-37C SP/182,0.0055,¶ÊÞ°,0,2,,,,,10.0,,,,,,,,,,,,
013CH271I-41C SP/182,0.0275,¶ÊÞ°,2,0,,,,,,,,,,,,,,,,,
013CH271I-42C SP/182,0.0275,¶ÊÞ°,5,0,,,,,,,,,,,,,,,,,
013CH271I-49C SP/182,0.0275,¶ÊÞ°,1,0,,,,,,,,,,,,,,,,,
013CH271I-50C SP/182,0.0275,¶ÊÞ°,3,1,,,,,,,,,,,,,,,,,
013CH271I-03C SP/183,0.0275,¶ÊÞ°,3,5,4.0,,,,,,,,,4.0,,,,,,,
013CH271I-08C SP/183,0.0275,¶ÊÞ°,6,4,2.0,,,,,,,,,2.0,,,,,,,
