CH271E-09 SP/196,CH271E-09 SP/196,マチルダ,別製品 CU37x1付き ,1,set,224.4,,,CH271E-09 SP/196[LARC-17(DBR)],,JUC000020367,,0.98,1953,CH271   0001887
CH271-37 SP/196,CH271-37 SP/196,CU大,別製品,1,pcs,28.9,,,CH271-37 SP/196[LARC-17(DBR)],,JUC000020367,,,1583,
CH271E-50 SP/196,CH271E-50 SP/196,マチルダ,別製品 CU37x1付き,1,set,218.7,,,CH271E-50 SP/196[LARC-17(DBR)],,JUC000020367,,0.98,1994,CH271   0001780
CH1072-32LSET SP/172,CH1072-30R SP/172,CU37x1 CU35x1付き,別製品,1,set,325.1,,,CH1072-32LSET SP/172[ASH-BE],,JUC000020388,,1.22,3979,CH1072  0000155
CH1071E-03SET DB SP/182,CH1071E-3P+0.5P SP/182,肘ノックダウン仕様,別製品 肘クッション 2個 DB脚同梱 ,1,set,423.7,,,CH1071E-03SET DB SP/182,,JUC000020394,,1.37,5484,CH1071  0000130
CH271E-41 SP/209,CH271E-41 SP/209,マチルダ,別製品  CU37x1付き,1,pcs,230.2,,,CH271E-41 SP/209[FREE-93],,JUC000020399,,1.0,1668,CH271   0001412
CH271E-49 SP/209,CH271E-49 SP/209,マチルダ,別製品 CU37x1付き,1,set,218.5,,,CH271E-49 SP/209[FREE-93],,JUC000020399,,0.98,1980,CH271   0001285
LH03-06 SP/207,LH03-20L SP/207,リビングハウス,別製品 ,1,pcs,,,,LH03-06 SP/207[FREE-96],,JUC000020400,,0.46,4960,LH03    0000140
LH03LEG-L,LH03LEG-L 鉄脚(大),リビングハウス,別製品 金属脚 L (1set = 2pcs),2,set,26.2,,,LH03LEG-L,,JUC000020400,,0.03,2919,
LH03-20 SP/207,LH03-20N SP/207,リビングハウス,別製品,1,pcs,,,,LH03-20 SP/207[FREE-96],,JUC000020400,,0.45,5615,LH03    0000169
LH03-17L SP/207,LH03-0.6P SP/207,リビングハウス,別製品,1,pcs,,,,LH03-17L SP/207[FREE-96],,JUC000020400,,0.18,5547,LH03    0000166
LH03LEG-S,LH03LEG-S 鉄脚(小),リビングハウス,別製品 金属脚 S (1set = 2pcs),1,set,26.2,,,LH03LEG-S,,JUC000020400,,0.024,2920,
CH232W-03 座クッションヌード,CH232W-03 座クッションヌード左右一式,CH232W-03用座クッションヌード左右一式 ,インナーカバー付き,1,set,31.9,,,CH232W-03 座クッションヌード,,JUC000020259,,0.45,707
