資産区分,資産区分名,拠点CD,拠点名,品目区分,品目区分名,品目CD,品目名,在庫場所CD,在庫場所名,ロケーション,在庫状態区分名,ロット番号,工順,手配内容名,前月末在庫数,在庫単位名,当月入庫数,当月出庫数,現在在庫数,評価単価,現在在庫金額,規格,型式,受注製品名,備考,サイズ１,サイズ２,サイズ３,品種CD,品種名,品目分類CDＡ,品目分類CDＡ名,原価計算しない区分,品目分類CDＢ名,発注フラグ,品目分類CDＣ名,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,在庫予備項目１,在庫予備項目２,在庫予備項目３,入庫数内訳１,入庫数内訳２,入庫数内訳３,入庫数内訳４,入庫数内訳５,入庫数内訳６,入庫数内訳７,入庫数内訳８,入庫数内訳９,入庫数内訳１０,出庫数内訳１,出庫数内訳２,出庫数内訳３,出庫数内訳４,出庫数内訳５,出庫数内訳６,出庫数内訳７,出庫数内訳８,出庫数内訳９,出庫数内訳１０
1,自社資産,1,南濃工場,5,主要材料,001SP/195,ﾗﾙｸ ｸﾘｰﾑ,Z001,南濃倉庫,,通常,,999,購入,67.6,m,0,7.1,60.5,870,52635,SP/195,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/196,ﾗﾙｸ ｺｰﾋｰ,Z001,南濃倉庫,,通常,,999,購入,52.1,m,0,5.8,46.3,870,40281,SP/196,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/197,ﾗﾙｸ ﾌﾞﾙｰ ,Z001,南濃倉庫,,通常,,999,購入,54.8,m,0,13.4,41.4,870,36018,SP/197,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/198,ﾗﾙｸ ﾈｲﾋﾞｰ,Z001,南濃倉庫,,通常,,999,購入,12,m,52.6,24.8,39.8,870,34626,SP/198,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,52.6,0,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/199,ﾗﾙｸ ｵﾌ,Z001,南濃倉庫,,通常,,999,購入,50.6,m,0,8.3,42.3,870,36801,SP/199,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/53,ｱﾈﾙｶW,Z001,南濃倉庫,,通常,,999,購入,54.4,m,0,0,54.4,855,46512,SP/53,,,,1.35,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/54,ｱﾈﾙｶBE,Z001,南濃倉庫,,通常,,999,購入,48.3,m,0,0,48.3,854.99,41296.02,SP/54,,,,1.35,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/55,ｱﾈﾙｶDBR,Z001,南濃倉庫,,通常,,999,購入,33.1,m,0,0,33.1,855.01,28300.83,SP/55,,,,1.35,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/56,ｱﾈﾙｶGR,Z001,南濃倉庫,,通常,,999,購入,93.9,m,0,12.9,81,880,71280,SP/56,,,,1.35,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/57,ｱﾈﾙｶOR,Z001,南濃倉庫,,通常,,999,購入,16.4,m,0,0,16.4,880,14432,SP/57,,,,1.35,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
